Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Cardinals,0,0,0,0,0,1988,16,0,88,18
Eagles,0,0,0,0,0,1988,32,0,371,38
Jets,0,0,0,0,0,1988,24,3,228,55T
Giants,0,0,0,0,0,1988,15,2,292,66
Saints,0,0,0,0,0,1988,17,0,295,44
Patriots,0,0,0,0,0,1988,20,0,244,42
Vikings,0,0,0,0,0,1988,36,5,589,94T
Dolphins,0,0,0,0,0,1988,16,0,219,52
Raiders,0,0,0,0,0,1988,17,1,278,86T
Rams,0,0,0,0,0,1988,22,1,281,47T
Chiefs,0,0,0,0,0,1988,18,0,166,32
Colts,0,0,0,0,0,1988,15,1,189,41T
Oilers,0,0,0,0,0,1988,22,2,302,51
Packers,0,0,0,0,0,1988,20,0,224,33
Lions,0,0,0,0,0,1988,15,2,247,90T
Broncos,0,0,0,0,0,1988,16,0,200,39
Cowboys,0,0,0,0,0,1988,10,1,67,29
Browns,0,0,0,0,0,1988,20,1,319,75T
Bengals,0,0,0,0,0,1988,22,1,181,37
Bears,0,0,0,0,0,1988,26,0,237,46
Bills,0,0,0,0,0,1988,15,1,244,78T
Falcons,0,0,0,0,0,1988,24,1,185,47T
Redskins,0,0,0,0,0,1989,27,3,284,59T
Buccaneers,0,0,0,0,0,1989,21,2,234,68T
Seahawks,0,0,0,0,0,1989,9,0,57,20
49ers,0,0,0,0,0,1989,21,0,262,42
Chargers,0,0,0,0,0,1989,25,0,224,34
Steelers,0,0,0,0,0,1989,21,0,261,39
Cardinals,0,0,0,0,0,1989,16,2,275,53T
Eagles,0,0,0,0,0,1989,30,2,375,60T
Jets,0,0,0,0,0,1989,15,2,261,92T
Giants,0,0,0,0,0,1989,22,2,330,58T
Saints,0,0,0,0,0,1989,21,2,226,63T
Patriots,0,0,0,0,0,1989,16,1,118,28
Vikings,0,0,0,0,0,1989,18,2,264,90T
Dolphins,0,0,0,0,0,1989,15,0,126,28
Raiders,0,0,0,0,0,1989,18,3,362,87T
Rams,0,0,0,0,0,1989,21,3,372,81T
Chiefs,0,0,0,0,0,1989,15,0,133,27
Colts,0,0,0,0,0,1989,21,2,391,80T
Oilers,0,0,0,0,0,1989,21,0,263,48
Packers,0,0,0,0,0,1989,25,0,232,53
Lions,0,0,0,0,0,1989,16,1,107,36
Broncos,0,0,0,0,0,1989,21,2,318,50
Cowboys,0,0,0,0,0,1989,7,0,37,18
Browns,0,0,0,0,0,1989,27,4,300,36T
Bengals,0,0,0,0,0,1989,21,1,204,28
Bears,0,0,0,0,0,1989,26,1,268,43
Bills,0,0,0,0,0,1989,23,1,269,43
Falcons,0,0,0,0,0,1989,20,0,285,40
Redskins,0,0,0,0,0,1990,21,2,271,61
