Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Eagles,0,0,0,0,0,0,0,0,1057,1985
Jets,0,0,0,0,0,0,0,0,989,1985
Giants,0,0,0,0,0,0,0,0,1022,1985
Saints,0,0,0,0,0,0,0,0,1083,1985
Patriots,0,0,0,0,0,0,0,0,1042,1985
Vikings,0,0,0,0,0,0,0,0,1065,1985
Dolphins,0,0,0,0,0,0,0,0,1034,1985
Raiders,0,0,0,0,0,0,0,0,1037,1985
Rams,0,0,0,0,0,0,0,0,1048,1985
Chiefs,0,0,0,0,0,0,0,0,1126,1985
Colts,0,0,0,0,0,0,0,0,1079,1985
Oilers,0,0,0,0,0,0,0,0,1091,1985
Packers,0,0,0,0,0,0,0,0,1051,1985
Lions,0,0,0,0,0,0,0,0,1083,1985
Broncos,0,0,0,0,0,0,0,0,1069,1985
Cowboys,0,0,0,0,0,0,0,0,1076,1985
Browns,0,0,0,0,0,0,0,0,1050,1985
Bengals,0,0,0,0,0,0,0,0,1019,1985
Bears,0,0,0,0,0,0,0,0,945,1985
Bills,0,0,0,0,0,0,0,0,1071,1985
Falcons,0,0,0,0,0,0,0,0,1014,1985
Redskins,0,0,0,0,0,0,0,0,1046,1986
Buccaneers,0,0,0,0,0,0,0,0,1061,1986
Seahawks,0,0,0,0,0,0,0,0,1053,1986
49ers,0,0,0,0,0,0,0,0,1061,1986
Chargers,0,0,0,0,0,0,0,0,1046,1986
Steelers,0,0,0,0,0,0,0,0,1050,1986
Cardinals,0,0,0,0,0,0,0,0,1037,1986
Eagles,0,0,0,0,0,0,0,0,1043,1986
Jets,0,0,0,0,0,0,0,0,1081,1986
Giants,0,0,0,0,0,0,0,0,996,1986
Saints,0,0,0,0,0,0,0,0,1109,1986
Patriots,0,0,0,0,0,0,0,0,1031,1986
Vikings,0,0,0,0,0,0,0,0,1013,1986
Dolphins,0,0,0,0,0,0,0,0,1058,1986
Raiders,0,0,0,0,0,0,0,0,1003,1986
Rams,0,0,0,0,0,0,0,0,1038,1986
Chiefs,0,0,0,0,0,0,0,0,1098,1986
Colts,0,0,0,0,0,0,0,0,1051,1986
Oilers,0,0,0,0,0,0,0,0,1054,1986
Packers,0,0,0,0,0,0,0,0,1041,1986
Lions,0,0,0,0,0,0,0,0,1028,1986
Broncos,0,0,0,0,0,0,0,0,1026,1986
Cowboys,0,0,0,0,0,0,0,0,1017,1986
Browns,0,0,0,0,0,0,0,0,1047,1986
Bengals,0,0,0,0,0,0,0,0,1051,1986
Bears,0,0,0,0,0,0,0,0,1002,1986
Bills,0,0,0,0,0,0,0,0,1071,1986
Falcons,0,0,0,0,0,0,0,0,964,1986
Redskins,0,0,0,0,0,0,0,0,1021,1987
Buccaneers,0,0,0,0,0,0,0,0,996,1987
Seahawks,0,0,0,0,0,0,0,0,954,1987
49ers,0,0,0,0,0,0,0,0,933,1987
Chargers,0,0,0,0,0,0,0,0,1008,1987
Steelers,0,0,0,0,0,0,0,0,962,1987
Cardinals,0,0,0,0,0,0,0,0,1023,1987
Eagles,0,0,0,0,0,0,0,0,1046,1987
Jets,0,0,0,0,0,0,0,0,993,1987
Giants,0,0,0,0,0,0,0,0,1056,1987
Saints,0,0,0,0,0,0,0,0,924,1987
Patriots,0,0,0,0,0,0,0,0,1053,1987
Vikings,0,0,0,0,0,0,0,0,979,1987
Dolphins,0,0,0,0,0,0,0,0,1013,1987
Raiders,0,0,0,0,0,0,0,0,938,1987
Rams,0,0,0,0,0,0,0,0,961,1987
Chiefs,0,0,0,0,0,0,0,0,1045,1987
Colts,0,0,0,0,0,0,0,0,1003,1987
Oilers,0,0,0,0,0,0,0,0,976,1987
Packers,0,0,0,0,0,0,0,0,1024,1987
Lions,0,0,0,0,0,0,0,0,1005,1987
Broncos,0,0,0,0,0,0,0,0,941,1987
Cowboys,0,0,0,0,0,0,0,0,1012,1987
Browns,0,0,0,0,0,0,0,0,902,1987
Bengals,0,0,0,0,0,0,0,0,937,1987
Bears,0,0,0,0,0,0,0,0,989,1987
Bills,0,0,0,0,0,0,0,0,1022,1987
Falcons,0,0,0,0,0,0,0,0,1070,1987
Redskins,0,0,0,0,0,0,0,0,982,1988
Buccaneers,0,0,0,0,0,0,0,0,1025,1988
Seahawks,0,0,0,0,0,0,0,0,1040,1988
49ers,0,0,0,0,0,0,0,0,1013,1988
Chargers,0,0,0,0,0,0,0,0,1072,1988
Steelers,0,0,0,0,0,0,0,0,1067,1988
Cardinals,0,0,0,0,0,0,0,0,1014,1988
Eagles,0,0,0,0,0,0,0,0,1086,1988
Jets,0,0,0,0,0,0,0,0,1038,1988
Giants,0,0,0,0,0,0,0,0,1072,1988
Saints,0,0,0,0,0,0,0,0,978,1988
Patriots,0,0,0,0,0,0,0,0,961,1988
Vikings,0,0,0,0,0,0,0,0,952,1988
Dolphins,0,0,0,0,0,0,0,0,1072,1988
Raiders,0,0,0,0,0,0,0,0,1056,1988
Rams,0,0,0,0,0,0,0,0,1041,1988
Chiefs,0,0,0,0,0,0,0,0,1042,1988
Colts,0,0,0,0,0,0,0,0,1016,1988
Oilers,0,0,0,0,0,0,0,0,985,1988
Packers,0,0,0,0,0,0,0,0,1018,1988
Lions,0,0,0,0,0,0,0,0,1071,1988
Broncos,0,0,0,0,0,0,0,0,1055,1988
Cowboys,0,0,0,0,0,0,0,0,1023,1988
Browns,0,0,0,0,0,0,0,0,1009,1988
Bengals,0,0,0,0,0,0,0,0,1059,1988
Bears,0,0,0,0,0,0,0,0,977,1988
Bills,0,0,0,0,0,0,0,0,971,1988
Falcons,0,0,0,0,0,0,0,0,1052,1988
Redskins,0,0,0,0,0,0,0,0,954,1989
Buccaneers,0,0,0,0,0,0,0,0,1027,1989
Seahawks,0,0,0,0,0,0,0,0,997,1989
49ers,0,0,0,0,0,0,0,0,979,1989
Chargers,0,0,0,0,0,0,0,0,1040,1989
Steelers,0,0,0,0,0,0,0,0,1077,1989
Cardinals,0,0,0,0,0,0,0,0,1100,1989
Eagles,0,0,0,0,0,0,0,0,1017,1989
Jets,0,0,0,0,0,0,0,0,1059,1989
Giants,0,0,0,0,0,0,0,0,946,1989
Saints,0,0,0,0,0,0,0,0,997,1989
Patriots,0,0,0,0,0,0,0,0,975,1989
Vikings,0,0,0,0,0,0,0,0,1021,1989
Dolphins,0,0,0,0,0,0,0,0,1045,1989
Raiders,0,0,0,0,0,0,0,0,1045,1989
Rams,0,0,0,0,0,0,0,0,1023,1989
Chiefs,0,0,0,0,0,0,0,0,952,1989
Colts,0,0,0,0,0,0,0,0,1109,1989
Oilers,0,0,0,0,0,0,0,0,940,1989
Packers,0,0,0,0,0,0,0,0,970,1989
Lions,0,0,0,0,0,0,0,0,1064,1989
Broncos,0,0,0,0,0,0,0,0,977,1989
Cowboys,0,0,0,0,0,0,0,0,1060,1989
